"id","code","name","created_at","updated_at","is_active"
1,Bag,Bag,"2017-12-29 04:15:53","2017-12-29 04:15:53",1
2,Book,Book,"2017-12-29 04:16:08","2017-12-29 04:16:08",1
3,Bottle,Bottle,"2017-12-29 04:16:20","2017-12-29 04:16:20",1
4,Box,Box,"2017-12-29 04:16:37","2017-12-29 04:16:37",1
5,Can,Can,"2017-12-29 04:16:46","2017-12-29 04:16:46",1
6,Cylinder,Cylinder,"2017-12-29 04:16:58","2017-12-29 04:16:58",1
7,Drum,Drum,"2017-12-29 04:17:07","2017-12-29 04:17:07",1
8,Kilogram,Kilogram,"2017-12-29 04:17:18","2017-12-29 04:17:18",1
9,Litre,Litre,"2017-12-29 04:17:29","2017-12-29 04:17:29",1
10,Meter,Meter,"2017-12-29 04:17:41","2017-12-29 04:17:41",1
11,Pair,Pair,"2017-12-29 04:17:56","2017-12-29 04:17:56",1
12,Piece,Piece,"2017-12-29 04:18:06","2017-12-29 04:18:06",1
13,Packet,Packet,"2017-12-29 04:18:25","2017-12-29 04:18:25",1
14,Ream,Ream,"2017-12-29 04:18:35","2017-12-29 04:18:35",1
15,Roll,Roll,"2017-12-29 04:18:44","2017-12-29 04:18:44",1
16,Set,Set,"2017-12-29 04:18:53","2017-12-29 04:18:53",1
17,Tin,Tin,"2017-12-29 04:19:00","2017-12-29 04:19:00",1
18,Tube,Tube,"2017-12-29 04:19:08","2017-12-29 04:19:08",1
19,Unit,Unit,"2017-12-29 04:19:15","2019-03-19 23:28:30",1
21,Tonne,Tonne,"2019-01-29 17:56:29","2019-01-29 17:56:29",1
22,Length,Length,"2019-03-19 23:27:57","2019-03-19 23:28:45",1
23,Carton,Carton,"2021-09-01 12:12:12","2021-09-01 12:12:12",1
24,Cartridge,Cartridge,"2021-09-01 12:12:12","2021-09-01 12:12:12",1
26,Pail,Pail,"2024-01-22 06:53:54","2024-01-22 06:55:39",1
27,Nos,Nos,"2024-02-14 08:00:37","2024-02-14 08:00:37",1
